"ID_muestra","N_Vaca","Muestreo","ED","DEL","Estado","Estado_n","NP","PL","CE","CCS","SCCS","Resultado","","","",""
"2218-3","2218","3","44","272","Gestante","1","2","13.9","7.2","355000","4.83","1","","Gestante","1",""
"232-7","232","7","92","49","Abierta","2","5","13.4","5.2","402000","5.01","1","","Abierta","2",""
"898-1","898","1","44","381","Gestante","1","1","14.8","4.8","400000","5","1","","Inseminada","3",""
"197-4","197","4","59","60","Abierta","2","4","16","6.3","395000","4.98","1","","No Gestante","4",""
"922-11","922","11","39","380","Gestante","1","1","11.6","5.5","360000","4.85","1","","Estéril","5",""
"1955-10","1955","10","91","303","Inseminada","3","4","4.3","6.8","395000","4.98","1","","","",""
"900-4","900","4","44","8","Abierta","2","2","15.5","5.4","358000","4.84","1","","Variables que indican si hay o no mastitis","",""
"791-2","791","2","69","291","Gestante","1","2","6.1","7.3","399000","5","1","","CCS","SCCS","Resultado"
"894-2","894","2","45","213","Gestante","1","2","15.9","5.5","396000","4.99","1","",">= 200 000 : Enferma",">= 4 : Enferma","1=Enferma"
"686-2","686","2","107","196","Inseminada","3","6","12.6","6.5","354000","4.82","1","","<200 000: Sana","<4: Sana","0=Sana"
"872-8","872","8","50","198","Inseminada","3","2","14.4","6.4","413000","5.05","1","","","",""
"888-4","888","4","46","272","Gestante","1","2","12.1","6.3","415000","5.05","1","","Variables Predictoras","",""
"1056-11","1056","11","95","298","Gestante","1","5","15.4","6.9","415000","5.05","1","","ED","",""
"35-7","35","7","153","88","Inseminada","3","5","18.2","7.7","207000","4.05","1","","DEL","",""
"1600-6","1600","6","87","203","Inseminada","3","5","13.5","4.9","416000","5.06","1","","Estado","",""
"918-8","918","8","40","375","Gestante","1","1","6.4","5.2","416000","5.06","1","","Estado N°","",""
"232-10","232","10","93","70","Abierta","2","5","13.4","6.6","217000","4.12","1","","NP","",""
"918-4","918","4","39","347","Gestante","1","1","7.2","5.6","410000","5.04","1","","PL","",""
"882-4","882","4","47","153","Inseminada","3","2","11.3","5.8","209000","4.06","1","","CE","",""
"50-8","50","8","114","249","Gestante","1","5","14.2","7.5","352000","4.82","1","","","",""
"920-4","920","4","38","10","Abierta","2","2","11.3","6.8","353000","4.82","1","","","",""
"791-1","791","1","69","284","Gestante","1","2","6.7","7.4","411000","5.04","1","","","",""
"759-4","759","4","78","77","Inseminada","3","5","8.1","6.8","367000","4.88","1","","","",""
"801-1","801","1","65","446","Gestante","1","2","7.1","6.4","378000","4.92","1","","","",""
"914-9","914","9","41","149","Gestante","1","2","15.5","6.6","218000","4.12","1","","","",""
"759-9","759","9","79","112","Inseminada","3","5","18.1","7.4","379000","4.92","1","","","",""
"869-11","869","11","52","201","Gestante","1","2","14.9","7.5","380000","4.93","1","","","",""
"918-3","918","3","39","340","Gestante","1","1","8.3","5.7","368000","4.88","1","","","",""
"240-3","240","3","91","94","Abierta","2","5","13.5","6.5","364000","4.86","1","","","",""
